{'ID': '', 'x': 0.158, 'y': -1.709, 'yaw': 5.708, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.134, 'y': 0.599, 'yaw': 0.017, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.176, 'y': -1.72, 'yaw': 6.003, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.138, 'y': 0.58, 'yaw': 6.256, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.196, 'y': -1.726, 'yaw': 6.131, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.143, 'y': 0.561, 'yaw': 6.278, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.217, 'y': -1.729, 'yaw': 0.051, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.147, 'y': 0.542, 'yaw': 0.042, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.238, 'y': -1.728, 'yaw': 0.229, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.151, 'y': 0.522, 'yaw': 0.068, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.258, 'y': -1.723, 'yaw': 0.38, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.154, 'y': 0.503, 'yaw': 6.278, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.271, 'y': -1.718, 'yaw': 0.612, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.158, 'y': 0.484, 'yaw': 6.282, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.277, 'y': -1.714, 'yaw': 0.833, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.163, 'y': 0.465, 'yaw': 6.245, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.277, 'y': -1.714, 'yaw': 0.843, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.168, 'y': 0.446, 'yaw': 0.089, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.277, 'y': -1.714, 'yaw': 0.6, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.171, 'y': 0.427, 'yaw': 0.076, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.277, 'y': -1.714, 'yaw': 0.49, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.174, 'y': 0.408, 'yaw': 6.281, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '', 'x': 0.277, 'y': -1.714, 'yaw': 0.581, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '#0', 'x': -1.178, 'y': 0.389, 'yaw': 6.233, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.183, 'y': 0.37, 'yaw': 0.048, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.187, 'y': 0.351, 'yaw': 0.166, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.188, 'y': 0.331, 'yaw': 0.088, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.191, 'y': 0.312, 'yaw': 6.205, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.197, 'y': 0.293, 'yaw': 6.097, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.204, 'y': 0.275, 'yaw': 6.22, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.21, 'y': 0.257, 'yaw': 0.113, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.212, 'y': 0.237, 'yaw': 0.089, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.215, 'y': 0.218, 'yaw': 0.016, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.219, 'y': 0.199, 'yaw': 6.239, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.224, 'y': 0.18, 'yaw': 6.264, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.229, 'y': 0.161, 'yaw': 0.082, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.232, 'y': 0.142, 'yaw': 0.034, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.235, 'y': 0.123, 'yaw': 0.034, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.239, 'y': 0.104, 'yaw': 0.09, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.242, 'y': 0.084, 'yaw': 6.234, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.247, 'y': 0.066, 'yaw': 6.208, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.253, 'y': 0.047, 'yaw': 0.045, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.257, 'y': 0.028, 'yaw': 0.065, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
{'ID': '#0', 'x': -1.26, 'y': 0.008, 'yaw': 6.283, 'bx': 0.96, 'by': -0.064, 'bytes': 4}
